Obcina,Ranljivostni_razredi,Povrsina,Stevilo
AJDOVŠČINA,B,748112.5,5109
AJDOVŠČINA,C,1476825.6,6780
AJDOVŠČINA,D,593026.7,2154
AJDOVŠČINA,E,17874.1,508
BREŽICE,B,100809.9,959
BREŽICE,C,2153111.8,13707
BREŽICE,D,822121.7,4762
BREŽICE,E,245891.3,5477
CELJE,B,241881.6,1905
CELJE,C,3710127.1,16558
CELJE,D,2380745,6033
CELJE,E,220108.1,4791
CERKNICA,B,265160.3,2260
CERKNICA,C,1222334.8,6121
CERKNICA,D,397373.1,1344
CERKNICA,E,178621.9,2822
ČRNOMELJ,B,302279.1,3383
ČRNOMELJ,C,2115126.2,12115
ČRNOMELJ,D,641960.6,3566
ČRNOMELJ,E,368971.2,6879
DOMŽALE,B,237630.1,1498
DOMŽALE,C,3287597.4,13606
DOMŽALE,D,1775235.2,5873
DOMŽALE,E,137205.2,2820
GORNJA RADGONA,B,17364,126
GORNJA RADGONA,C,1918210.1,11820
GORNJA RADGONA,D,405351.6,1307
GORNJA RADGONA,E,117672.5,2539
GROSUPLJE,B,386144.9,3407
GROSUPLJE,C,2035336.1,10912
GROSUPLJE,D,1247262.7,6402
GROSUPLJE,E,281459.3,5501
IDRIJA,B,447212.5,2810
IDRIJA,C,993909.9,4571
IDRIJA,D,450774.4,1644
IDRIJA,E,54259.4,1755
ILIRSKA BISTRICA,B,438841.8,3227
ILIRSKA BISTRICA,C,800064.5,3700
ILIRSKA BISTRICA,D,385190.3,1836
ILIRSKA BISTRICA,E,15182.5,349
JESENICE,B,170324.2,904
JESENICE,C,1893495.3,6956
JESENICE,D,721919.8,1475
JESENICE,E,89447.6,2218
KAMNIK,B,213429.3,1343
KAMNIK,C,2236686.7,8527
KAMNIK,D,864551.1,2580
KAMNIK,E,112151.6,2359
KOČEVJE,B,249196.7,2041
KOČEVJE,C,2187862,11822
KOČEVJE,D,691696.5,2425
KOČEVJE,E,313018.6,5845
KOPER,B,1036646.8,7866
KOPER,C,4630111.8,18636
KOPER,D,2596797.1,9045
KOPER,E,28855.8,753
KRANJ,B,459798.8,2604
KRANJ,C,6245367.5,24702
KRANJ,D,2250211.5,4592
KRANJ,E,298156.8,6454
KRŠKO,B,258822.5,2550
KRŠKO,C,1947604.5,10952
KRŠKO,D,1145875.7,6367
KRŠKO,E,261844.5,5623
LAŠKO,B,245838,2632
LAŠKO,C,1044946.3,5832
LAŠKO,D,679393.2,3592
LAŠKO,E,160351.4,3584
LENDAVA,B,308.4,7
LENDAVA,C,2615194.6,16063
LENDAVA,D,351019,1670
LENDAVA,E,160974.6,3817
LITIJA,B,219233.1,2336
LITIJA,C,1065763.9,5536
LITIJA,D,718778,4216
LITIJA,E,126162.3,3183
LJUBLJANA,B,740216.5,4659
LJUBLJANA,C,16376891.2,65684
LJUBLJANA,D,14809306.4,27541
LJUBLJANA,E,708701.5,15269
LJUTOMER,B,1970.4,14
LJUTOMER,C,1812343.3,11454
LJUTOMER,D,253614.9,1075
LJUTOMER,E,56231.2,1317
LOGATEC,B,114265.9,736
LOGATEC,C,714689.7,2966
LOGATEC,D,532761.5,1787
LOGATEC,E,62598.3,1272
MARIBOR,B,421433.8,2558
MARIBOR,C,13059597,65893
MARIBOR,D,6174316.3,19484
MARIBOR,E,514187.7,12419
MOZIRJE,B,326310,2266
MOZIRJE,C,1335521.8,6662
MOZIRJE,D,302397.5,1296
MOZIRJE,E,239154,4146
MURSKA SOBOTA,B,48566.7,339
MURSKA SOBOTA,C,5392728.6,33728
MURSKA SOBOTA,D,1320023.2,4264
MURSKA SOBOTA,E,540920.6,8736
NOVA GORICA,B,1213166.7,8489
NOVA GORICA,C,3502925.3,16591
NOVA GORICA,D,1767634,4385
NOVA GORICA,E,62245.4,1622
NOVO MESTO,B,559198,6800
NOVO MESTO,C,5250193,28816
NOVO MESTO,D,1754193.6,5975
NOVO MESTO,E,553205.6,13318
ORMOŽ,B,12227.1,114
ORMOŽ,C,1464419.4,10269
ORMOŽ,D,323491.6,1882
ORMOŽ,E,26388.5,565
POSTOJNA,B,444910.7,2703
POSTOJNA,C,1360630.4,5048
POSTOJNA,D,724134,2420
POSTOJNA,E,43805.5,654
PTUJ,B,84709.2,964
PTUJ,C,5474789.5,33315
PTUJ,D,1879393.4,9921
PTUJ,E,250696.3,5189
RADOVLJICA,B,410099.8,2402
RADOVLJICA,C,2526695.5,10609
RADOVLJICA,D,833025.5,2702
RADOVLJICA,E,244670,6110
RAVNE NA KOROŠKEM,B,171392.1,863
RAVNE NA KOROŠKEM,C,1707033.2,5892
RAVNE NA KOROŠKEM,D,455638.8,2005
RAVNE NA KOROŠKEM,E,166317.6,3114
ŠENTJUR PRI CELJU,B,247871,2360
ŠENTJUR PRI CELJU,C,1619934.7,10170
ŠENTJUR PRI CELJU,D,279478.5,1406
ŠENTJUR PRI CELJU,E,195795.8,3732
SEVNICA,B,248744.4,2951
SEVNICA,C,1315219.7,7479
SEVNICA,D,590019.3,4325
SEVNICA,E,195282.5,4117
SEŽANA,B,864005.3,6885
SEŽANA,C,1743675,8387
SEŽANA,D,775986.7,3641
SEŽANA,E,15477.5,305
ŠKOFJA LOKA,B,536768.6,2654
ŠKOFJA LOKA,C,2784381.4,10848
ŠKOFJA LOKA,D,917239.2,2644
ŠKOFJA LOKA,E,260975.1,4975
SLOVENJ GRADEC,B,416271.3,2244
SLOVENJ GRADEC,C,3686835.8,16398
SLOVENJ GRADEC,D,712129.9,2861
SLOVENJ GRADEC,E,346734.5,6077
SLOVENSKA BISTRICA,B,212008.1,1565
SLOVENSKA BISTRICA,C,2801456.1,16896
SLOVENSKA BISTRICA,D,590676,2733
SLOVENSKA BISTRICA,E,173775.6,3838
SLOVENSKE KONJICE,B,125538.5,1061
SLOVENSKE KONJICE,C,1704284.6,9310
SLOVENSKE KONJICE,D,461797,1721
SLOVENSKE KONJICE,E,88422.8,1887
ŠMARJE PRI JELŠAH,B,361163.3,3385
ŠMARJE PRI JELŠAH,C,2466109.2,14627
ŠMARJE PRI JELŠAH,D,1172485,6416
ŠMARJE PRI JELŠAH,E,213623.7,4472
TOLMIN,B,786863.8,6430
TOLMIN,C,861854.8,5271
TOLMIN,D,728238,4063
TOLMIN,E,52070.3,1612
TRBOVLJE,B,226625.6,2051
TRBOVLJE,C,1693339.2,8808
TRBOVLJE,D,1532820.4,6964
TRBOVLJE,E,137166.3,3175
TREBNJE,B,294571.1,3217
TREBNJE,C,1273283.1,7443
TREBNJE,D,918327.8,5851
TREBNJE,E,170582.8,3948
VELENJE,B,126233.8,1031
VELENJE,C,2163730.2,8294
VELENJE,D,1519857.5,2967
VELENJE,E,145297.9,3226
VRHNIKA,B,129090,857
VRHNIKA,C,1403517.1,6897
VRHNIKA,D,508131,1982
VRHNIKA,E,108729.2,2156
ŽALEC,B,355603.2,2881
ŽALEC,C,3102280.2,17022
ŽALEC,D,1071196.2,4250
ŽALEC,E,293072.1,6232
